0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
tsbür,dspr,tspra,dspor,dsbr,tspri,tspar,tspr,tüsbr,tspro,dsbrö,desbr,tspre,tsbrü,tspär,tsber,tsbur,dsprä,tsbar,tsbri,tsbr,dspri,,,,,,,,,,,,,,,,,,
üsbl,_üsbl,osbal,usbly,asblä,espol,uesbl,üsbol,üspla,_espl,àsblä,espal,espla,aspel,usbl,àsbl,asbl,üspl,üspel,aasbl,esbli,ejsbl,ichbl,üsbli,asblu,üsbil,_usbl,esbl,,,,,,,,,,,,
latzt,letst,lotst,lzäit,lizit,lzeit,ldst,ldstü,lotzt,letzt,lized,làtzt,ltst,lutst,litzt,ltste,ldsto,,,,,,,,,,,,,,,,,,,,,,,
agfal,agfl,igfla,egfli,igfl,aagfl,ackfl,agflö,igfal,egfl,egfal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
üldfi,ildf,altf,ildve,alatf,aldf,oldv,ildv,aldve,üldf,eltiw,uldf,aldfe,eldf,_altf,eldyw,uldfa,oldve,ildfà,aldv,eltf,,,,,,,,,,,,,,,,,,,
kgeba,kgebe,ce-qu,coque,gequ,_gequ,k-kwi,ck-kw,k-kw,coqu,_coqu,gequa,cque,,,,,,,,,,,,,,,,,,,,,,,,,,,
baums,_pàms,ppmes,pàms,pmes,pmess,bumms,pàmse,bmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnish,nshi,nisho,nashe,nish,nnshi,nüsh,hnshe,nshe,_nüsh,nsher,nsh_,nsehe,nash,nishä,nnsh,hnsh,nshü,nüsha,,,,,,,,,,,,,,,,,,,,,
mmenb,mnibu,menba,mnib,menb,manb,manba,mnibü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ligk,logik,lligk,ligke,llkic,lkoc,legyg,l'occ,lkic,lkuec,ligc,lkig_,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hinfe,huniw,_hanf,henfa,hienf,_hinf,hanf_,hanf,hinef,henf,hinfä,hinf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ervis,ervez,erfs_,irfs,ærfs,erfs,ervös,ervaz,erves,ärfs,erf’s,erfas,erufs,ervus,erfüs,erf‘s,erfiz,,,,,,,,,,,,,,,,,,,,,,,
jorit,jerd,jacht,jräd,jächt,jourd,jiert,jert,jerad,jürd,jerdi,jardi,jerot,jürde,jachd,hjrot,_jürd,jert_,_jard,jrot_,jrot,,,,,,,,,,,,,,,,,,,
svoge,sfig,ssvog,sfak,sfigü,sfæc,hsfac,ssfæc,hsfig,sfac,svog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dazwi,tezw,_dezw,htezw,dzwa,tezwa,_dazw,todsw,dezw,dezwi,dazw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnämm,pneum,bnäm,ppenm,bnem_,benàm,bonem,benam,penma,bnim,benim,bnemm,penm,bnem,panam,benem,bnimm,,,,,,,,,,,,,,,,,,,,,,,
etits,edüz,utez,eduz,otiz,ittze,it-z,utez_,otize,odüz,adats,edez,yttz,ediz,itdes,adezi,itats,it-ze,edüzi,edezi,êtez,yttze,ettez,edizi,atezi,outez,itäts,atez,adezu,idez,adäts,édits,eduzi,otiz_,ittz,odüzi,adez,antez,idezä,
üemem,ynmum,àmmme,e-mam,emumm,immmi,ummme,àmmm,emume,i-mêm,emäim,ummm,emam,emum,amemo,emema,immm,amem,emem,emamm,,,,,,,,,,,,,,,,,,,,
lersi,llerz,lersa,lors_,liers,larrs,lerz,llers,lersü,leurs,lerse,lers,lehrs,leris,lars_,ll’rs,lers_,lärrs,_lerz,lors,l’rs_,hlers,lerz_,lars,leers,l’rs,,,,,,,,,,,,,,
rtsm,rzimm,rtsmü,rotsm,rzem,rezim,rzum,rtsma,rzum_,rzem_,rzim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vekli,wackl,wegli,weglö,wegl,vekäl,weckl,vekl,wickl,wagl,_wagl,_vogl,wagle,weglo,wàgel,vogl,wegal,weggl,vogle,,,,,,,,,,,,,,,,,,,,,
otzb,ezeeb,izeib,ezap,ezep,üzebi,itzbü,itsab,itzbo,itzbu,otzbu,atzbü,izep,otizb,itzbä,aazeb,ezop,itz-b,ezaub,üzeb,atzb,itzb,azeb’,itzub,ezäp,azeb,ätzbe,ätzb,itzba,,,,,,,,,,,
rkek,rigke,rküac,rgka,rückk,räckg,rgek,rückg,rgeg,raacc,reckk,rkoc,regag,ruckk,regig,rgauk,ruckg,rigkä,rgega,_rigk,rgyg,rgeko,rgege,rigk,rgyge,rikek,rküec,,,,,,,,,,,,,
ertüm,ertum,ordm,ordma,ertma,erdam,ertmo,urtm,artma,ertm,ortem,achtm,erdum,urtma,artem,erdim,ert-m,ardmo,erdem,artm,ardm,erdäm,ardem,,,,,,,,,,,,,,,,,
nußbi,nußb,_nußb,naseb,nussb,nsepp,nzbä,nsape,nsup,nesap,nzba,nsep,nüssp,n-sub,nissp,nsepa,nsaub,nsupp,ns-p,nsapp,nsap,,,,,,,,,,,,,,,,,,,
erpfä,irpf,eropf,erbef,arbef,erupf,arpfe,arpf,erbiw,erpf,erpfü,erpfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nskr,nscri,nskre,nißkr,nsgri,nsgra,nuskr,nscr,nskra,nsgr,nüscr,nskar,nskri,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd-d,chtet,citat,kdüdi,chted,chtd,kdüd,gdid,ckdüd,chdit,chdyt,citàd,chtdi,chtut,chdüd,gdied,gedit,gedud,chtda,chtüd,gdidi,kdid,kadet,chtat,citad,gd-di,chtdä,chtad,,,,,,,,,,,,
duwac,düwac,dfeec,tifig,dvok,dviec,dvoka,duwak,dific,tüwac,tific,tüwak,thfuc,dfic,daifg,dvek,tuwac,tiefk,deweg,dveka,dfoc,düwak,dfeek,,,,,,,,,,,,,,,,,
liehe,llhäi,hlhoo,llehe,hlhä,lleho,lehe,hlha,lehoh,leho,lehi,llhä,hlho,llehi,lehei,loho,hlehe,leihe,lohe,lehen,lohö,,,,,,,,,,,,,,,,,,,
nval,nvelo,nuffl,nfall,nvoll,nvol,newel,neval,nhöfl,nfäl,nvil,nfli,nvali,nefli,nfel,newal,nefl,nowel,nfel_,nfla,nfol,nnefl,nfehl,nfäll,näwel,nvill,nflu,novel,nuwel,nvel,nfal,nflo,,,,,,,,
tunf,denew,denfa,denäw,tunfü,danew,tenf,ton-f,tenfe,denf,tenow,denæw,tunfu,t-inv,teinf,,,,,,,,,,,,,,,,,,,,,,,,,
lkräj,licir,lkraa,lghör,lgara,legr,liger,legir,lgré_,lker_,lkor,lger_,lgru,llkr,legro,llger,lker,lkrü,lager,lkeru,likör,lkru,llkra,lgré,lger,lkoch,lacer,lkrä,lgar,llegr,li-gr,legra,lkra,lgrue,lycer,,,,,
ubst_,ebsto,aubst,iebst,ebsta,abst_,ibüst,àbst_,obste,ibstu,äbst,ebstü,àbst,absta,ebast,abstà,abst,ebste,äubst,ibst,eibst,_obst,ubstu,obst,ubst,übst,ebst_,ibbsd,_abst,apost,epast,ebst,abste,übsto,abstü,absti,,,,
