mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,VRSR,versueche; versuech; v'rsüüre; v'ryssere; v’rüssere; versuche; versüche; versuchen; versüere; versüeche,versüech; versüache; versüre
Craig,VSTKRTL,visitekærtel; visitekærtle,visitekärtel; visitekartel
Craig,XTRV,stærwe; stærwen; streben,starwe; stärwe; starwa; sterwe
Craig,VRLR,verloren; v'rlore; verlieren; v'rliere; verlire; verlor,verlora; verlore; verliere; verläch; verloreah
Craig,RSK,rasig; reskier; riesig; rüesig; ruessige; reissack,reisige; risiko; rosig; rüsghoia
Craig,PLTR,blodere; blatter; bleeder; bliet'r; plediere,bilder; blätter; plaüdere; plaüderi; pläuderi; plauideri
Craig,HLFT,helft; hälft; halft; häleft,hilft; hälfte
Craig,TRP,trop; derby; trapp; drobe; treppe; tribb; triebe; drabb; drapeau; derb; trab; trabb,derbi; truppa; drab; truppe; trappe; drbi; trieb; derbie; drbie
Craig,TLT,toilette; duld; talente; teilt; toillet,talent; dulde; theilt; delt; talante
Craig,MTR,mueder; mit-ere; muedder; mutter; madeire; meter; mieder; mit’re; mieädder; müderi; mieadder; maant'r; maant’r; mæter; mater; mettiere; mettrai; mettre; miaädder; mieäder; miedere; montré; montrer; müderie; muedre; müedre; muuderig; müeder,müetter; müater; matter; müeter; mueter; mäint-r; mäint’r; meint’r; miatere; mit-ire; müâter; métier
Craig,KFRL,gfährlich; g'fährlich; g’fährlich; gefährlich; cafferol; gewehrle; kifferle; köefferle; köfferle; g'fährli,g'fàhrlig; gfährli; g’fahrlig; kaferle; g’fährli
Craig,VRXTX,v'rstehsch; v‘rstehsch; versteh’sch; verstehsch; v'rschtehsch; versteh'sch; verstesch,würstchen; verschitsch
Craig,KRXT,gerüescht; gerischt; gröschte; gerüscht; gröscht; gerechter; gericht; gerecht; gerüst; grüüst; krischt; gryscht; gereist; geruescht; greeschte; gröschter; christi; geräist; gerechten; gerüschter; gheerst; greescht; greeste; gröeschti; grôschte; gröst; kriechte; gröeschte; garscht; gereicht,chrischta; g'richt; grischte; gröescht; chrischt; crischte; g'reist; gärscht; grescht; greschte; gricht; gröeschter; krischte; grüst; chrischte; g’horicht; gerechte
Craig,HRL,härel; herel; herrele,herrlich; herrlig
