0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
eigen,ikan,ikane,ekann,igen,ekan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoho,hahah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hler_,lache,lehr,lore_,lore,loren,_lehr,lach,hler,_lach,lehre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_sup,supp,sepp,suppe,_supp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trage,derg,tark,trag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inter,_ode,edig,ater_,äter_,üet_,idee,itai,eht_,iter_,üette,atte,unte_,üett,unte,idee_,ide_,_anto,ode_,ite_,üeter,eite,ante,edt_,eder_,_oder,iede,ieder,otte,inte_,atter,eite_,üete,eide_,unter,ieht_,eiter,att_,üte_,inte,ätte_,_idee,ete_,_unte,it-e,otte_,eint,ätt_,üete_,adie_,oder_,_adie,iter,oder,_ade,ede_,atte_,eter_,eid_,ait_,eder,_adi,itt_,ater,int_,ate_,_unt,eide,enti,äit_,ante_,iede_,_ide,antoi,üeder,itta,üede,_ant,eter,ieht,äter,anto,eint_
dert,dert_,_dert,tert_,tiert,tocht,tert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hwest,west,weste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mache,_mir_,_mir,mehr_,mmer_,mir_,_mach,maire,_mair,_mor,_mehr,-mr_,mmer,mehr,_mr_,mair,mach_,mach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will_,_wohl,will,wohl_,viel_,_viel,_wil,_will,well,_wel,wele_,viel,welle,wohl,_wil_,viell,wele,_voll,wil_,_well,_wal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
