"data","Freq"
"i e u r",104
"l e h n",104
"o l l e",104
"s i e u",104
"t i o n",104
"_ m ü s",103
"i s t _",103
"n z e _",103
"p l a t",103
"r l i g",103
"_ b o l",102
"_ i s _",102
"e r l a",102
"m i e s",102
"_ e b _",101
"b o l _",101
"e i g _",101
"g i t _",101
"h i m m",101
"m ü s i",101
"r g e _",101
"r i g _",101
"t r i n",101
"w e g e",101
"_ b r a",100
"_ g o t",100
"_ p r e",100
"_ w ä r",100
"c k e r",100
"d i g _",100
"i t n a",100
"o r e _",100
"r ü e d",100
"w e r d",100
"_ d a r",99
"_ g ' r",99
"_ j e d",99
"_ l e t",99
"_ r a c",99
"_ z i e",99
"a i r e",99
"d e r v",99
"g e n t",99
"h ü e _",99
"m e h r",99
"n g s t",99
"r i n k",99
"t n a n",99
"u c k e",99
"_ b e t",98
"_ e r f",98
"a n t _",98
"c h l i",98
"g e g e",98
"g l i _",98
"k e r _",98
"l w e r",98
"ö r t _",98
"a n n e",97
"b e t t",97
"c h a n",97
"g e i s",97
"h i e n",97
"i c k e",97
"r i w e",97
"s e t z",97
"_ w e _",96
"ä i t _",96
"a n s _",96
"a r m e",96
"b l i w",96
"e g e r",96
"n a m e",96
"o t h _",96
"w i a _",96
"_ a n t",95
"_ p o s",95
"b r i e",95
"e r v o",95
"l i w e",95
"o s e _",95
"r i e f",95
"t h i e",95
"w u n d",95
"_ e s s",94
"_ g e i",94
"h r e m",94
"n d e l",94
"n e r e",94
"r e d _",94
"t e r e",94
"_ w a l",93
"à m m e",93
"e r f i",93
"h i t t",93
"h r e r",93
"l e i n",93
"l s c h",93
"n e t _",93
"n s i e",93
"s e r e",93
"_ i m m",92
"_ p e r",92
"d l i g",92
"e b t _",92
"k ü c k",92
"m o n s",92
"n g s c",92
"o n s i",92
"s c h ü",92
"_ a n s",91
"_ f a h",91
"_ k ä m",91
"a d e _",91
"c h s c",91
"d e s _",91
"g a l d",91
"g i e r",91
"h a f f",91
"l l e m",91
"m m a _",91
"r i n _",91
"r z e i",91
"t l e _",91
"_ f a l",90
"_ h u n",90
"_ r o t",90
"_ s i m",90
"a h n _",90
"d i e n",90
"e r s p",90
"h i c h",90
"i l l i",90
"k ä m m",90
"r e i d",90
"s t i m",90
"t a n t",90
"t e c k",90
"t e l _",90
"t i m m",90
"ü e w e",90
"ü s i k",90
"_ e h r",89
"_ l i s",89
"e i f e",89
"h e i l",89
"h n t _",89
"h ö n e",89
"i d e r",89
"i n g s",89
"l o r e",89
"o t e _",89
"o t t e",89
"r a g e",89
"r v o _",89
"s a i t",89
"w o h n",89
"z e i h",89
"_ g e g",88
"_ p r o",88
"b a b b",88
"i n k _",88
"p e r s",88
"r i k a",88
"s i t z",88
"ü e g e",88
"w e g _",88
"_ b a r",87
"a w e _",87
"d r e i",87
"e r w i",87
"e t s c",87
"h ö r t",87
"j e d e",87
"l l o n",87
"p i e r",87
"r u m p",87
"s t e c",87
"_ k à m",86
"_ k l a",86
"e n k e",86
"i e h r",86
